assetid,assetref,assetdesc,assetgroup,prodgroup,company,city,department,building,room,purdate,purprice,depterm,assetage,tddep,bookvalue,opstatus,maintstatus
529,MLGPW/OPS/349/001,4 Drawer desk,Furniture and Fixtures,Desks,MLGPW,Masvingo,Public Works,Masvingo Office,3,2024/04/22,1089.99,4,1247,930.33,159.66,Operational,In Use
530,MLGPW/OPS/318/001,Paula High Backchair,Furniture and Fixtures,Chairs,MLGPW,Masvingo,Public Works,Masvingo Office,1,2025/04/22,1069.88,4,1246,912.44,157.44,Operational,In Use
531,MLGPW/TEC/001/001,Desktop Computer,Equipment - Computers,Computers,MLGPW,Harare,Rural Development,Head Office,103,2011/08/22,7719,4,1138,6012.47,1706.53,Operational,In Use
532,MLGPW/OPS/293/006,Dispenser Cassings,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,105,2001/12/21,16200,4,1391,15423.82,776.18,Operational,In Use
533,MLGPW/IT/291/002,Ketchup Payment Cubes & Tablets,Equipment - Office,Payment Equipment,MLGPW,Harare,Administration,Head Office,102,2001/12/21,33250,4,1391,31656.91,1593.09,Operational,In Use
534,MLGPW/OPS/317/001,Econo Side chair,Furniture and Fixtures,Chairs,MLGPW,Masvingo,Public Works,Masvingo Office,1,2029/04/22,537.29,4,1242,456.75,80.54,Operational,In Use
535,MLGPW/OPS/317/002,Econo Side chair,Furniture and Fixtures,Chairs,MLGPW,Masvingo,Public Works,Masvingo Office,3,1930/04/22,537.29,4,1241,456.38,80.91,Operational,In Use
536,MLGPW/OPS/317/003,Econo Side chair,Furniture and Fixtures,Chairs,MLGPW,Masvingo,Public Works,Masvingo Office,1,2003/05/22,537.29,4,1238,455.28,82.01,Operational,In Use
537,MLGPW/OPS/317/004,Econo Side chair,Furniture and Fixtures,Chairs,MLGPW,Masvingo,Public Works,Masvingo Office,2,2004/05/22,537.29,4,1237,454.91,82.38,Operational,In Use
538,MLGPW/OPS/350/001,Mobile Pedestal drawer,Furniture and Fixtures,Drawers,MLGPW,Kwekwe,Public Works,Kwekwe Office,101,2001/12/21,1430.44,4,1391,1361.9,68.54,Operational,In Use
539,MLGPW/OPS/344/001,Tredy Desk High Pedestal,Furniture and Fixtures,Desks,MLGPW,Kwekwe,Public Works,Kwekwe Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
540,MLGPW/TEC/348/002,Impact Desk,Furniture and Fixtures,Desks,MLGPW,Harare,Provincial Affairs and Devolution,Head Office,103,2001/12/21,1480,4,1391,1409.09,70.91,Operational,In Use
541,MLGPW/ADM/350/001,Mobile Pedestal drawer,Furniture and Fixtures,Drawers,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,105,2001/12/21,1430.44,4,1391,1361.9,68.54,Operational,Under Maintenance
542,MLGPW/SEC/854/009,Alarm Unit,Equipment Security,Guns,MLGPW,Harare,Provincial Affairs and Devolution,Head Office,103,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
543,MLGPW/SEC/854/10,Alarm Unit,Equipment Security,Guns,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
544,MLGPW/IT/291/003,Ketchup Payment Cubes & Tablets,Equipment - Office,Payment Equipment,MLGPW,Harare,Urban Development,Head Office,103,2001/12/21,33250,4,1391,31656.91,1593.09,Operational,In Use
545,MLGPW/OPS/235/003,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Gweru,Administration,Gweru Office,A101,2004/04/23,500,4,902,308.69,191.31,Operational,In Use
546,MLGPW/ADM/190/003,Fans & Heaters : Logic fan,Equipment - Office,Fans & Heaters,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1304.22,4,1391,1241.73,62.49,Operational,In Use
547,MLGPW/SEC/854/11,Alarm Unit,Equipment Security,Guns,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
548,MLGPW/SEC/854/12,Alarm Unit,Equipment Security,Guns,MLGPW,Harare,Provincial Affairs and Devolution,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
549,MLGPW/OPS/235/004,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Gweru,Administration,Gweru Office,A101,2005/04/23,500,4,901,308.35,191.65,Operational,In Use
550,MLGPW/OPS/235/001,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,101,2006/04/23,500,4,900,308.01,191.99,Operational,In Use
551,MLGPW/OPS/235/002,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,101,2007/04/23,500,4,899,307.67,192.33,Operational,In Use
552,MLGPW/OPS/316/003,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Gweru,Provincial Affairs and Devolution,Gweru Office,A103,2021/05/22,561.97,4,1220,469.27,92.7,Operational,In Use
553,MLGPW/OPS/316/004,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Gweru,Public Works,Gweru Office,A103,2022/05/22,561.97,4,1219,468.89,93.08,Under Commissioning,In Use
554,MLGPW/OPS/235/003,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,102,2008/04/23,500,4,898,307.32,192.68,Operational,In Use
555,MLGPW/OPS/235/004,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,103,2009/04/23,500,4,897,306.98,193.02,Operational,In Use
556,MLGPW/OPS/235/005,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2010/04/23,500,4,896,306.64,193.36,Operational,In Use
557,MLGPW/OPS/316/005,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Gweru,Public Works,Gweru Office,A103,2023/05/22,561.97,4,1218,468.5,93.47,Operational,In Use
558,MLGPW/OPS/316/006,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Gweru,Public Works,Gweru Office,A103,2024/05/22,561.97,4,1217,468.12,93.85,Idle/ Standby,In Use
559,MLGPW/OPS/316/007,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Gweru,Public Works,Gweru Office,A103,2025/05/22,561.97,4,1216,467.73,94.24,Operational,In Use
560,MLGPW/OPS/316/008,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Gweru,Public Works,Gweru Office,A103,2026/05/22,561.97,4,1215,467.35,94.62,Operational,In Use
561,MLGPW/OPS/316/009,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Gweru,Public Works,Gweru Office,A103,2027/05/22,561.97,4,1214,466.96,95.01,Operational,Due For Service
562,MLGPW/OPS/316/13,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2028/05/22,561.97,4,1213,466.58,95.39,Operational,In Use
563,MLGPW/OPS/316/15,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2029/05/22,561.97,4,1212,466.19,95.78,Operational,In Use
564,MLGPW/OPS/316/17,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,105,1930/05/22,561.97,4,1211,465.81,96.16,Operational,In Use
565,MLGPW/OPS/431/001,Boats,Motor Vehicles,Boats,MLGPW,Gweru,Rural Development,Gweru Parking,Bay 9,2001/12/21,120800,4,1391,115012.18,5787.82,Operational,In Use
566,MLGPW/OPS/432/001,Boat - Improvements,Motor Vehicles,Boats,MLGPW,Gweru,Rural Development,Gweru Parking,Bay 10,2017/07/22,114680,4,1163,91288.73,23391.27,Operational,In Use
567,MLGPW/SEC/860/001,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2028/02/22,4328.25,4,1302,3857.21,471.04,Operational,In Use
568,MLGPW/OPS/316/19,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Local Government,Bulawayo Office,101,1931/05/22,561.97,4,1210,465.42,96.55,Operational,In Use
569,MLGPW/OPS/316/20,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Local Government,Bulawayo Office,101,2001/06/22,561.97,4,1209,465.04,96.93,Operational,In Use
570,MLGPW/OPS/316/21,Chairs Directors Steel / Canvas - 013,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Public Works,Bulawayo Office,102,2002/06/22,561.97,4,1208,464.65,97.32,Operational,In Use
571,MLGPW/OPS/316/23,Chairs Directors Steel / Canvas -014,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,103,2003/06/22,561.97,4,1207,464.27,97.7,Operational,In Use
572,MLGPW/OPS/316/24,Chairs Directors Steel / Canvas -014,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2004/06/22,561.97,4,1206,463.88,98.09,Operational,In Use
573,MLGPW/OPS/316/25,Chairs Directors Steel / Canvas - 012,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2005/06/22,561.97,4,1205,463.5,98.47,Operational,In Use
574,MLGPW/OPS/316/26,Chairs Directors Steel / Canvas - 012,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,105,2006/06/22,561.97,4,1204,463.12,98.85,Operational,In Use
575,MLGPW/OPS/316/28,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,101,2007/06/22,561.97,4,1203,462.73,99.24,Operational,In Use
576,MLGPW/OPS/316/30,Chairs Directors Steel / Canvas -016,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,101,2008/06/22,561.97,4,1202,462.35,99.62,Operational,In Use
577,MLGPW/SEC/860/002,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2001/03/22,4328.25,4,1301,3854.25,474,Operational,In Use
578,MLGPW/SEC/860/003,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Harare,Administration,Head Office,105,2002/03/22,4328.25,4,1300,3851.28,476.97,Operational,In Use
579,MLGPW/OPS/316/31,Chairs Directors Steel / Canvas - 011,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,103,2009/06/22,561.97,4,1201,461.96,100.01,Operational,In Use
580,MLGPW/OPS/316/33,Chairs Directors Steel / Canvas-023,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2010/06/22,561.97,4,1200,461.58,100.39,Operational,In Use
581,MLGPW/OPS/316/34,Chairs Directors Steel / Canvas-023,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,105,2011/06/22,561.97,4,1199,461.19,100.78,Operational,In Use
582,MLGPW/OPS/316/003,Chairs Directors Steel / Canvas -024,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,105,2012/06/22,561.97,4,1198,460.81,101.16,Operational,In Use
583,MLGPW/OPS/316/004,Chairs Directors Steel / Canvas -024,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,106,2013/06/22,561.97,4,1197,460.42,101.55,Operational,In Use
584,MLGPW/SEC/860/004,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Public Works,Bulawayo Office,101,2003/03/22,4328.25,4,1299,3848.32,479.93,Operational,In Use
585,MLGPW/OPS/316/005,Chairs Directors Steel / Canvas,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,106,2014/06/22,561.97,4,1196,460.04,101.93,Operational,In Use
586,MLGPW/MD/004/001,Monitor,Equipment - Computers,Computers,MLGPW,Harare,Local Government,Head Office,103,2015/06/22,1299,4,1195,1062.49,236.51,Operational,In Use
587,MLGPW/LOG/388/003,Concrete Benches,Furniture and Fixtures,Benches,MLGPW,Harare,Public Works,Head Office,201,2025/02/21,1565.22,4,1670,1565.22,0,Operational,In Use
588,MLGPW/OPS/002/008,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,105,2005/10/21,9593,4,1448,9507.64,85.36,Operational,In Use
589,MLGPW/OPS/002/009,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,105,2005/10/21,9593,4,1448,9507.64,85.36,Operational,In Use
590,MLGPW/OPS/002/10,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,105,2005/10/21,9593,4,1448,9507.64,85.36,Operational,In Use
591,MLGPW/FIN/339/001,Bookcase,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Harare,Public Works,Head Office,201,2009/09/22,3382.62,4,1109,2567.64,814.98,Operational,In Use
592,MLGPW/MD/313/002,Highback Leather Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,201,2025/11/22,3625.32,4,1032,2560.8,1064.52,Operational,In Use
593,MLGPW/MD/313/003,Highback Leather Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,201,2026/11/22,3625.32,4,1031,2558.32,1067,Operational,In Use
594,MLGPW/MD/313/004,Highback Leather Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,101,2027/11/22,3625.32,4,1030,2555.84,1069.48,Operational,In Use
595,MLGPW/MD/313/005,Highback Leather Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,101,2028/11/22,3625.32,4,1029,2553.36,1071.96,Operational,In Use
596,MLGPW/MD/313/006,Highback Leather Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,201,2029/11/22,3625.32,4,1028,2550.88,1074.44,Operational,In Use
597,MLGPW/MD/313/007,Highback Leather Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,202,1930/11/22,3625.32,4,1027,2548.39,1076.93,Operational,In Use
598,MLGPW/MD/313/008,Highback Leather Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,202,2001/12/22,3625.32,4,1026,2545.91,1079.41,Operational,In Use
599,MLGPW/MD/313/009,Highback Leather Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,202,2002/12/22,3625.32,4,1025,2543.43,1081.89,Operational,In Use
600,MLGPW/MD/375/001,Board Room Table,Furniture and Fixtures,Tables,MLGPW,Harare,Administration,Head Office,102,2003/12/22,10458.35,4,1024,7330.15,3128.2,Operational,In Use
601,MLGPW/IT/700/003,Aircon Units,Equipment - Office,Aircon Units,MLGPW,Harare,Administration,Head Office,102,2013/11/22,6226.09,4,1044,4449.03,1777.06,Operational,In Use
602,MLGPW/IT/700/004,Aircon Units,Equipment - Office,Aircon Units,MLGPW,Harare,Urban Development,Head Office,103,2014/11/22,6226.09,4,1043,4444.77,1781.32,Operational,In Use
603,MLGPW/MD/700/001,Aircon Units - Board Room,Equipment - Office,Aircon Units,MLGPW,Harare,Rural Development,Head Office,103,2017/11/22,8070,4,1040,5744.56,2325.44,Operational,In Use
604,MLGPW/FIN/700/001,Aircon Units,Equipment - Office,Aircon Units,MLGPW,Harare,Local Government,Head Office,103,2018/11/22,8070,4,1039,5739.03,2330.97,Operational,In Use
605,MLGPW/SEC/842/001,HIK vision cctv system,Equipment Security,CCTV Cameras,MLGPW,Harare,Public Works,Head Office,101,2022/11/22,15158.14,4,1035,10738.31,4419.83,Operational,In Use
606,MLGPW/ADM/131/001,Laser Jet,Equipment - Office,Printers,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1730,4,1391,1647.11,82.89,Operational,In Use
607,MLGPW/OPS/299/11,Safe,Equipment - Office,Payment Equipment,MLGPW,Gweru,Administration,Gweru Office,A101,2014/09/22,0.01,4,1104,0.01,0,Operational,In Use
608,MLGPW/OPS/255/003,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,105,2018/12/22,414.78,4,1009,286.46,128.32,Operational,In Use
609,MLGPW/OPS/255/004,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,105,2019/12/22,414.78,4,1008,286.17,128.61,Operational,In Use
610,MLGPW/OPS/255/005,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,101,2020/12/22,414.78,4,1007,285.89,128.89,Idle/ Standby,In Use
611,MLGPW/OPS/255/006,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,102,2021/12/22,414.78,4,1006,285.6,129.18,Operational,In Use
612,MLGPW/OPS/255/007,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,103,2022/12/22,414.78,4,1005,285.32,129.46,Operational,In Use
613,MLGPW/OPS/255/008,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2023/12/22,414.78,4,1004,285.04,129.74,Operational,In Use
614,MLGPW/OPS/255/009,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,105,2024/12/22,414.78,4,1003,284.75,130.03,Operational,In Use
615,MLGPW/OPS/255/10,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,101,2025/12/22,414.78,4,1002,284.47,130.31,Operational,In Use
616,MLGPW/OPS/255/11,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,102,2026/12/22,414.78,4,1001,284.19,130.59,Operational,In Use
617,MLGPW/OPS/255/12,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,103,2027/12/22,414.78,4,1000,283.9,130.88,Operational,In Use
618,MLGPW/OPS/255/13,Fan Heater,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2028/12/22,414.78,4,999,283.62,131.16,Operational,In Use
619,MLGPW/OPS/235/006,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,103,2011/04/23,500,4,895,306.3,193.7,Operational,In Use
620,MLGPW/OPS/235/007,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2012/04/23,500,4,894,305.95,194.05,Operational,In Use
621,MLGPW/ADM/003/002,Notebook,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,10260,4,1391,9768.42,491.58,Operational,In Use
622,MLGPW/SEC/860/005,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Harare,Administration,Head Office,102,2004/03/22,4328.25,4,1298,3845.36,482.89,Operational,In Use
623,MLGPW/SEC/860/006,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Harare,Administration,Head Office,103,2005/03/22,4328.25,4,1297,3842.4,485.85,Operational,In Use
624,MLGPW/OPS/293/007,Dispenser Cassings,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2001/12/21,16200,4,1391,15423.82,776.18,Operational,In Use
625,MLGPW/OPS/235/008,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,105,2013/04/23,500,4,893,305.61,194.39,Operational,In Use
626,MLGPW/OPS/235/009,Flashlights,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,101,2014/04/23,500,4,892,305.27,194.73,Operational,In Use
627,MLGPW/OPS/317/001,Econo Side chair,Furniture and Fixtures,Chairs,MLGPW,Mutare,Public Works,Mutare Office,10,2005/07/22,551.12,4,1175,443.23,107.89,Operational,In Use
628,MLGPW/OPS/317/002,Econo Side chair,Furniture and Fixtures,Chairs,MLGPW,Mutare,Public Works,Mutare Office,10,2006/07/22,551.12,4,1174,442.86,108.26,Operational,In Use
629,MLGPW/OPS/317/003,Econo Side chair,Furniture and Fixtures,Chairs,MLGPW,Mutare,Public Works,Mutare Office,11,2007/07/22,551.12,4,1173,442.48,108.64,Operational,Due For Service
630,MLGPW/OPS/317/004,Econo Side chair,Furniture and Fixtures,Chairs,MLGPW,Mutare,Public Works,Mutare Office,11,2008/07/22,551.12,4,1172,442.1,109.02,Operational,In Use
631,MLGPW/OPS/318/001,Paula High Backchair,Furniture and Fixtures,Chairs,MLGPW,Mutare,Public Works,Mutare Office,11,2009/07/22,2023.29,4,1171,1621.68,401.61,Operational,Under Maintenance
632,MLGPW/OPS/348/001,Impact Desk,Furniture and Fixtures,Desks,MLGPW,Mutare,Public Works,Mutare Office,10,2010/07/22,1482.61,4,1170,1187.31,295.3,Operational,In Use
633,MLGPW/SEC/860/007,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2006/03/22,4328.25,4,1296,3839.43,488.82,Operational,In Use
634,MLGPW/SEC/860/008,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2007/03/22,4328.25,4,1295,3836.47,491.78,Operational,In Use
635,MLGPW/SEC/860/009,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Harare,Administration,Head Office,105,2008/03/22,4328.25,4,1294,3833.51,494.74,Operational,In Use
636,MLGPW/SEC/860/10,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Public Works,Bulawayo Office,101,2009/03/22,4328.25,4,1293,3830.55,497.7,Operational,In Use
637,MLGPW/SEC/860/11,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Harare,Administration,Head Office,102,2010/03/22,4328.25,4,1292,3827.58,500.67,Operational,In Use
638,MLGPW/TEC/869/001,Smartpay Software,Software,Software,MLGPW,Harare,Public Works,Head Office,101,2001/12/21,1034461,4,1391,984897.5,49563.5,Operational,In Use
639,MLGPW/TEC/872/001,OVC Cards Software,Software,Software,MLGPW,Harare,Public Works,Head Office,101,2001/12/21,170000,4,1391,161854.89,8145.11,Operational,In Use
640,MLGPW/TEC/006/001,Servers,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,612622,4,1391,583269.82,29352.18,Operational,In Use
641,MLGPW/IT/002/18,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,201,2005/09/22,8324,4,1113,6341.28,1982.72,Operational,In Use
642,MLGPW/OPS/002/006,Laptop,Equipment - Computers,Computers,MLGPW,Gweru,Provincial Affairs and Devolution,Gweru Office,A101,2006/09/22,8324,4,1112,6335.58,1988.42,Operational,In Use
643,MLGPW/LOG/002/001,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,104,2001/12/21,11635,4,1391,11077.54,557.46,Operational,In Use
644,MLGPW/ADM/338/001,2 door Short Steel cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Harare,Public Works,Head Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
645,MLGPW/ADM/319/001,Plastic Chairs,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
646,MLGPW/ADM/319/002,Plastic Chairs,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
647,MLGPW/ADM/319/003,Plastic Chairs,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
648,MLGPW/ADM/319/004,Plastic Chairs,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
649,MLGPW/FIN/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Harare,Public Works,Head Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
650,MLGPW/ADM/319/005,Plastic Chairs,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
651,MLGPW/ADM/377/001,Plastic Table,Furniture and Fixtures,Tables,MLGPW,Harare,Urban Development,Head Office,103,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
652,MLGPW/ADM/110/002,Fridges,Equipment - Office,Fridges,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
653,MLGPW/ADM/531/001,Electric Kettle,Equipment - Office,Kettles,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
654,MLGPW/IT/002/19,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Administration,Head Office,104,2016/04/22,11899,4,1255,10221.25,1677.75,Operational,In Use
655,MLGPW/IT/002/20,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Administration,Head Office,104,2017/04/22,9799,4,1254,8410.64,1388.36,Operational,In Use
656,MLGPW/ADM/290/001,Ammo Box Black,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
657,MLGPW/ADM/874/001,Ladder,Equipment - Office,Ladders,MLGPW,Harare,Public Works,Head Office,104,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
658,MLGPW/FIN/331/004,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
659,MLGPW/FIN/332/002,4 drawer Filing Cabinet,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
660,MLGPW/FIN/128/001,HP Deskjet 3in1,Equipment - Office,Printers,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Idle/ Standby,In Use
661,MLGPW/IT/002/21,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,105,2018/04/22,9799,4,1253,8403.93,1395.07,Operational,In Use
662,MLGPW/SEC/860/12,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Harare,Administration,Head Office,103,2011/03/22,4328.25,4,1291,3824.62,503.63,Operational,In Use
663,MLGPW/SEC/860/13,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2012/03/22,4328.25,4,1290,3821.66,506.59,Operational,In Use
664,MLGPW/SEC/860/14,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2013/03/22,4328.25,4,1289,3818.7,509.55,Operational,In Use
665,MLGPW/SEC/860/15,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Harare,Administration,Head Office,105,2014/03/22,4328.25,4,1288,3815.73,512.52,Operational,In Use
666,MLGPW/SEC/860/16,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Public Works,Bulawayo Office,101,2015/03/22,4328.25,4,1287,3812.77,515.48,Operational,In Use
667,MLGPW/SEC/860/17,CCTV Camera,Equipment Security,CCTV Camera,MLGPW,Bulawayo,Public Works,Bulawayo Office,101,2016/03/22,4328.25,4,1286,3809.81,518.44,Operational,In Use
